2023-07-20T16:07:35.578Z || IPv6::ffff:15.204.194.30:46131 || GET >> /index.html
2023-07-20T16:07:46.573Z || IPv6::ffff:135.148.195.4:52011 || GET >> favicon.ico
2023-07-20T16:25:08.237Z || IPv6::ffff:123.60.146.214:52823 || GET >> /index.html
2023-07-20T16:33:01.963Z || IPv6::ffff:141.98.11.207:33700 || GET >> /index.html
2023-07-20T16:57:20.593Z || IPv6::ffff:185.180.140.5:34068 || GET >> favicon-32x32.png
2023-07-20T17:24:00.722Z || IPv6::ffff:192.241.216.29:51582 || GET >> manager/html/index.html
2023-07-20T17:36:21.895Z || IPv6::ffff:143.198.217.27:64303 || GET >> /index.html
2023-07-20T17:36:22.162Z || IPv6::ffff:143.198.217.27:64303 || GET >> wp-includes/ID3/license.txt
2023-07-20T17:36:22.422Z || IPv6::ffff:143.198.217.27:64303 || GET >> feed//index.html
2023-07-20T17:36:22.684Z || IPv6::ffff:143.198.217.27:64303 || GET >> xmlrpc.php?rsd
2023-07-20T17:36:22.943Z || IPv6::ffff:143.198.217.27:64303 || GET >> blog/wp-includes/wlwmanifest.xml
2023-07-20T17:36:23.202Z || IPv6::ffff:143.198.217.27:64303 || GET >> web/wp-includes/wlwmanifest.xml
2023-07-20T17:36:23.469Z || IPv6::ffff:143.198.217.27:64303 || GET >> wordpress/wp-includes/wlwmanifest.xml
2023-07-20T17:36:23.734Z || IPv6::ffff:143.198.217.27:64303 || GET >> wp/wp-includes/wlwmanifest.xml
2023-07-20T17:36:23.998Z || IPv6::ffff:143.198.217.27:64303 || GET >> 2020/wp-includes/wlwmanifest.xml
2023-07-20T17:36:24.262Z || IPv6::ffff:143.198.217.27:64303 || GET >> 2019/wp-includes/wlwmanifest.xml
2023-07-20T17:36:24.523Z || IPv6::ffff:143.198.217.27:64303 || GET >> 2021/wp-includes/wlwmanifest.xml
2023-07-20T17:36:24.783Z || IPv6::ffff:143.198.217.27:64303 || GET >> shop/wp-includes/wlwmanifest.xml
2023-07-20T17:36:25.048Z || IPv6::ffff:143.198.217.27:64303 || GET >> wp1/wp-includes/wlwmanifest.xml
2023-07-20T17:36:25.314Z || IPv6::ffff:143.198.217.27:64303 || GET >> test/wp-includes/wlwmanifest.xml
2023-07-20T17:36:25.575Z || IPv6::ffff:143.198.217.27:64303 || GET >> site/wp-includes/wlwmanifest.xml
2023-07-20T17:36:25.836Z || IPv6::ffff:143.198.217.27:64303 || GET >> cms/wp-includes/wlwmanifest.xml
2023-07-20T17:36:55.232Z || IPv6::ffff:142.93.169.200:40550 || GET >> /index.html
2023-07-20T17:41:57.520Z || IPv6::ffff:20.163.108.68:52098 || GET >> /index.html
2023-07-20T17:41:57.608Z || IPv6::ffff:20.163.108.68:52098 || GET >> wp-includes/wlwmanifest.xml
2023-07-20T17:41:57.690Z || IPv6::ffff:20.163.108.68:52098 || GET >> xmlrpc.php?rsd
2023-07-20T17:41:57.768Z || IPv6::ffff:20.163.108.68:52098 || GET >> /index.html
2023-07-20T17:41:57.849Z || IPv6::ffff:20.163.108.68:52098 || GET >> blog/wp-includes/wlwmanifest.xml
2023-07-20T17:41:57.935Z || IPv6::ffff:20.163.108.68:52098 || GET >> wordpress/wp-includes/wlwmanifest.xml
2023-07-20T17:41:58.012Z || IPv6::ffff:20.163.108.68:52098 || GET >> wp/wp-includes/wlwmanifest.xml
2023-07-20T17:41:58.092Z || IPv6::ffff:20.163.108.68:52098 || GET >> site/wp-includes/wlwmanifest.xml
2023-07-20T17:41:58.169Z || IPv6::ffff:20.163.108.68:52098 || GET >> cms/wp-includes/wlwmanifest.xml
2023-07-20T17:48:11.424Z || IPv6::ffff:23.111.114.116:59916 || GET >> /index.html
2023-07-20T17:59:38.148Z || IPv6::ffff:34.77.127.183:39508 || GET >> /index.html
2023-07-20T18:07:28.641Z || IPv6::ffff:14.116.185.229:40164 || GET >> /index.html
2023-07-20T18:20:55.582Z || IPv6::ffff:89.104.111.25:39951 || GET >> /index.html
2023-07-20T18:20:56.832Z || IPv6::ffff:45.90.62.125:32831 || GET >> favicon.ico
2023-07-20T18:41:06.445Z || IPv6::ffff:159.203.35.172:43614 || GET >> geoip//index.html
2023-07-20T18:41:06.579Z || IPv6::ffff:159.203.35.172:43626 || GET >> /index.html
2023-07-20T18:41:06.706Z || IPv6::ffff:159.203.35.172:43638 || GET >> favicon.ico
2023-07-20T18:41:06.973Z || IPv6::ffff:159.203.35.172:43646 || GET >> 1.php
2023-07-20T18:51:54.245Z || IPv6::ffff:223.240.101.111:58446 || GET >> /index.html
2023-07-20T19:10:51.561Z || IPv6::ffff:167.206.204.66:61484 || GET >> /index.html
2023-07-20T19:10:51.632Z || IPv6::ffff:167.206.204.66:61484 || GET >> style.css
2023-07-20T19:10:51.658Z || IPv6::ffff:167.206.204.66:61487 || GET >> global/components/my-nav.js
2023-07-20T19:10:51.661Z || IPv6::ffff:167.206.204.66:61486 || GET >> global/components/globalComponents.css
2023-07-20T19:10:51.677Z || IPv6::ffff:167.206.204.66:61488 || GET >> global/components/my-foot.js
2023-07-20T19:10:52.827Z || IPv6::ffff:167.206.204.66:61484 || GET >> img/logo.png
2023-07-20T19:11:03.919Z || IPv6::ffff:97.64.59.213:48994 || GET >> /index.html
2023-07-20T19:11:04.501Z || IPv6::ffff:97.64.59.213:49032 || GET >> global/components/my-nav.js
2023-07-20T19:11:04.502Z || IPv6::ffff:97.64.59.213:49034 || GET >> global/components/my-foot.js
2023-07-20T19:11:04.502Z || IPv6::ffff:97.64.59.213:49036 || GET >> global/components/globalComponents.css
2023-07-20T19:11:12.594Z || IPv6::ffff:167.206.204.66:61504 || GET >> my_projects//index.html
2023-07-20T19:11:12.644Z || IPv6::ffff:167.206.204.66:61503 || GET >> my_projects/style.css
2023-07-20T19:11:12.644Z || IPv6::ffff:167.206.204.66:61504 || GET >> global/components/globalComponents.css
2023-07-20T19:11:12.665Z || IPv6::ffff:167.206.204.66:61505 || GET >> style.css
2023-07-20T19:11:12.673Z || IPv6::ffff:167.206.204.66:61507 || GET >> global/components/my-nav.js
2023-07-20T19:11:12.673Z || IPv6::ffff:167.206.204.66:61508 || GET >> global/components/my-foot.js
2023-07-20T19:11:12.677Z || IPv6::ffff:167.206.204.66:61506 || GET >> my_projects/script.js
2023-07-20T19:11:12.775Z || IPv6::ffff:167.206.204.66:61503 || GET >> img/logo.png
2023-07-20T19:11:20.995Z || IPv6::ffff:167.206.204.66:61517 || GET >> my_projects/python/index.html
2023-07-20T19:11:26.079Z || IPv6::ffff:167.206.204.66:61520 || GET >> /index.html
2023-07-20T19:11:26.115Z || IPv6::ffff:167.206.204.66:61522 || GET >> global/components/my-foot.js
2023-07-20T19:11:26.116Z || IPv6::ffff:167.206.204.66:61521 || GET >> global/components/my-nav.js
2023-07-20T19:11:26.118Z || IPv6::ffff:167.206.204.66:61525 || GET >> style.css
2023-07-20T19:11:26.118Z || IPv6::ffff:167.206.204.66:61520 || GET >> global/components/globalComponents.css
2023-07-20T19:11:26.120Z || IPv6::ffff:167.206.204.66:61524 || GET >> img/logo.png
2023-07-20T19:11:51.841Z || IPv6::ffff:167.206.204.66:61523 || GET >> about-site/index.html
2023-07-20T19:12:02.461Z || IPv6::ffff:167.206.204.66:61547 || GET >> about-site/index.html
2023-07-20T19:12:07.232Z || IPv6::ffff:167.206.204.66:61546 || GET >> my_projects//index.html
2023-07-20T19:12:07.275Z || IPv6::ffff:167.206.204.66:61546 || GET >> my_projects/style.css
2023-07-20T19:12:07.282Z || IPv6::ffff:167.206.204.66:61547 || GET >> my_projects/script.js
2023-07-20T19:12:07.318Z || IPv6::ffff:167.206.204.66:61552 || GET >> global/components/my-nav.js
2023-07-20T19:12:07.319Z || IPv6::ffff:167.206.204.66:61550 || GET >> style.css
2023-07-20T19:12:07.324Z || IPv6::ffff:167.206.204.66:61553 || GET >> global/components/my-foot.js
2023-07-20T19:12:07.325Z || IPv6::ffff:167.206.204.66:61551 || GET >> global/components/globalComponents.css
2023-07-20T19:12:07.375Z || IPv6::ffff:167.206.204.66:61546 || GET >> img/logo.png
2023-07-20T19:12:09.596Z || IPv6::ffff:167.206.204.66:61546 || GET >> my_projects/python/index.html
2023-07-20T19:12:41.304Z || IPv6::ffff:97.64.59.213:52490 || GET >> index.html
2023-07-20T19:12:49.885Z || IPv6::ffff:97.64.59.213:52940 || GET >> index.html
2023-07-20T19:12:50.384Z || IPv6::ffff:97.64.59.213:52962 || GET >> global/components/my-foot.js
2023-07-20T19:12:50.386Z || IPv6::ffff:97.64.59.213:52960 || GET >> global/components/my-nav.js
2023-07-20T19:12:50.386Z || IPv6::ffff:97.64.59.213:52964 || GET >> global/components/globalComponents.css
2023-07-20T19:13:17.488Z || IPv6::ffff:167.206.204.66:61572 || GET >> index.html
2023-07-20T19:13:17.525Z || IPv6::ffff:167.206.204.66:61573 || GET >> global/components/globalComponents.css
2023-07-20T19:13:17.525Z || IPv6::ffff:167.206.204.66:61572 || GET >> global/components/my-nav.js
2023-07-20T19:13:17.527Z || IPv6::ffff:167.206.204.66:61574 || GET >> style.css
2023-07-20T19:13:17.527Z || IPv6::ffff:167.206.204.66:61575 || GET >> img/logo.png
2023-07-20T19:13:17.529Z || IPv6::ffff:167.206.204.66:61577 || GET >> global/components/my-foot.js
2023-07-20T19:13:19.658Z || IPv6::ffff:71.104.114.101:57689 || GET >> index.html
2023-07-20T19:13:19.723Z || IPv6::ffff:71.104.114.101:57689 || GET >> style.css
2023-07-20T19:13:19.735Z || IPv6::ffff:71.104.114.101:57690 || GET >> global/components/globalComponents.css
2023-07-20T19:13:19.735Z || IPv6::ffff:71.104.114.101:57691 || GET >> global/components/my-nav.js
2023-07-20T19:13:19.737Z || IPv6::ffff:71.104.114.101:57692 || GET >> global/components/my-foot.js
2023-07-20T19:13:19.756Z || IPv6::ffff:71.104.114.101:57689 || GET >> img/logo.png
2023-07-20T19:13:21.360Z || IPv6::ffff:71.104.114.101:57690 || GET >> about/index.html
2023-07-20T19:13:21.414Z || IPv6::ffff:71.104.114.101:57691 || GET >> style.css
2023-07-20T19:13:21.414Z || IPv6::ffff:71.104.114.101:57692 || GET >> global/components/globalComponents.css
2023-07-20T19:13:21.418Z || IPv6::ffff:71.104.114.101:57689 || GET >> about/style.css
2023-07-20T19:13:21.418Z || IPv6::ffff:71.104.114.101:57690 || GET >> global/components/my-nav.js
2023-07-20T19:13:21.427Z || IPv6::ffff:71.104.114.101:57691 || GET >> global/components/my-foot.js
2023-07-20T19:13:21.464Z || IPv6::ffff:71.104.114.101:57692 || GET >> img/logo.png
2023-07-20T19:13:21.774Z || IPv6::ffff:167.206.204.66:61572 || GET >> about-siteindex.html
2023-07-20T19:13:22.316Z || IPv6::ffff:71.104.114.101:57689 || GET >> blog/index.html
2023-07-20T19:13:22.379Z || IPv6::ffff:71.104.114.101:57690 || GET >> style.css
2023-07-20T19:13:22.380Z || IPv6::ffff:71.104.114.101:57696 || GET >> global/components/globalComponents.css
2023-07-20T19:13:22.380Z || IPv6::ffff:71.104.114.101:57691 || GET >> blog/style.css
2023-07-20T19:13:22.380Z || IPv6::ffff:71.104.114.101:57692 || GET >> global/components/my-nav.js
2023-07-20T19:13:22.380Z || IPv6::ffff:71.104.114.101:57689 || GET >> global/components/my-foot.js
2023-07-20T19:13:22.391Z || IPv6::ffff:71.104.114.101:57690 || GET >> blog/script.js
2023-07-20T19:13:22.415Z || IPv6::ffff:71.104.114.101:57691 || GET >> img/logo.png
2023-07-20T19:13:22.890Z || IPv6::ffff:71.104.114.101:57692 || GET >> my_projects/index.html
2023-07-20T19:13:22.966Z || IPv6::ffff:71.104.114.101:57696 || GET >> style.css
2023-07-20T19:13:22.966Z || IPv6::ffff:71.104.114.101:57697 || GET >> global/components/globalComponents.css
2023-07-20T19:13:22.966Z || IPv6::ffff:71.104.114.101:57689 || GET >> my_projects/style.css
2023-07-20T19:13:22.975Z || IPv6::ffff:71.104.114.101:57690 || GET >> global/components/my-foot.js
2023-07-20T19:13:22.976Z || IPv6::ffff:71.104.114.101:57691 || GET >> my_projects/script.js
2023-07-20T19:13:23.065Z || IPv6::ffff:71.104.114.101:57692 || GET >> global/components/my-nav.js
2023-07-20T19:13:23.085Z || IPv6::ffff:71.104.114.101:57696 || GET >> img/logo.png
2023-07-20T19:13:24.158Z || IPv6::ffff:71.104.114.101:57689 || GET >> about/index.html
2023-07-20T19:13:24.216Z || IPv6::ffff:71.104.114.101:57697 || GET >> style.css
2023-07-20T19:13:24.216Z || IPv6::ffff:71.104.114.101:57690 || GET >> about/style.css
2023-07-20T19:13:24.219Z || IPv6::ffff:71.104.114.101:57691 || GET >> global/components/globalComponents.css
2023-07-20T19:13:24.219Z || IPv6::ffff:71.104.114.101:57696 || GET >> global/components/my-foot.js
2023-07-20T19:13:24.219Z || IPv6::ffff:71.104.114.101:57692 || GET >> global/components/my-nav.js
2023-07-20T19:13:24.241Z || IPv6::ffff:71.104.114.101:57689 || GET >> img/logo.png
2023-07-20T19:13:24.797Z || IPv6::ffff:71.104.114.101:57697 || GET >> index.html
2023-07-20T19:13:24.861Z || IPv6::ffff:71.104.114.101:57690 || GET >> style.css
2023-07-20T19:13:24.861Z || IPv6::ffff:71.104.114.101:57692 || GET >> global/components/globalComponents.css
2023-07-20T19:13:24.864Z || IPv6::ffff:71.104.114.101:57691 || GET >> global/components/my-nav.js
2023-07-20T19:13:24.867Z || IPv6::ffff:71.104.114.101:57696 || GET >> global/components/my-foot.js
2023-07-20T19:13:24.889Z || IPv6::ffff:71.104.114.101:57689 || GET >> img/logo.png
2023-07-20T19:13:26.120Z || IPv6::ffff:167.206.204.66:61572 || GET >> about-siteindex.html
2023-07-20T19:13:27.257Z || IPv6::ffff:167.206.204.66:61572 || GET >> about-siteindex.html
2023-07-20T19:13:30.950Z || IPv6::ffff:167.206.204.66:61572 || GET >> index.html
2023-07-20T19:13:31.004Z || IPv6::ffff:167.206.204.66:61572 || GET >> global/components/my-foot.js
2023-07-20T19:13:31.005Z || IPv6::ffff:167.206.204.66:61576 || GET >> style.css
2023-07-20T19:13:31.031Z || IPv6::ffff:167.206.204.66:61582 || GET >> global/components/my-nav.js
2023-07-20T19:13:31.036Z || IPv6::ffff:167.206.204.66:61581 || GET >> global/components/globalComponents.css
2023-07-20T19:13:31.075Z || IPv6::ffff:167.206.204.66:61572 || GET >> img/logo.png
2023-07-20T19:13:39.223Z || IPv6::ffff:71.104.114.101:57700 || GET >> index.html
2023-07-20T19:13:39.263Z || IPv6::ffff:71.104.114.101:57700 || GET >> style.css
2023-07-20T19:13:39.274Z || IPv6::ffff:71.104.114.101:57700 || GET >> global/components/globalComponents.css
2023-07-20T19:13:39.285Z || IPv6::ffff:71.104.114.101:57700 || GET >> global/components/my-foot.js
2023-07-20T19:13:39.289Z || IPv6::ffff:71.104.114.101:57701 || GET >> global/components/my-nav.js
2023-07-20T19:13:39.376Z || IPv6::ffff:71.104.114.101:57700 || GET >> img/logo.png
2023-07-20T19:13:39.484Z || IPv6::ffff:71.104.114.101:57700 || GET >> favicon.ico
2023-07-20T19:13:40.444Z || IPv6::ffff:71.104.114.101:57700 || GET >> aboutindex.html
2023-07-20T19:13:40.448Z || IPv6::ffff:71.104.114.101:57701 || GET >> about/index.html
2023-07-20T19:13:40.508Z || IPv6::ffff:71.104.114.101:57702 || GET >> about/style.css
2023-07-20T19:13:40.509Z || IPv6::ffff:71.104.114.101:57701 || GET >> style.css
2023-07-20T19:13:40.509Z || IPv6::ffff:71.104.114.101:57703 || GET >> global/components/globalComponents.css
2023-07-20T19:13:40.520Z || IPv6::ffff:71.104.114.101:57702 || GET >> global/components/my-nav.js
2023-07-20T19:13:40.520Z || IPv6::ffff:71.104.114.101:57701 || GET >> global/components/my-foot.js
2023-07-20T19:13:40.539Z || IPv6::ffff:71.104.114.101:57701 || GET >> img/logo.png
2023-07-20T19:13:41.245Z || IPv6::ffff:71.104.114.101:57701 || GET >> index.html
2023-07-20T19:13:41.316Z || IPv6::ffff:71.104.114.101:57709 || GET >> global/components/my-nav.js
2023-07-20T19:13:41.316Z || IPv6::ffff:71.104.114.101:57701 || GET >> style.css
2023-07-20T19:13:41.316Z || IPv6::ffff:71.104.114.101:57703 || GET >> global/components/globalComponents.css
2023-07-20T19:13:41.318Z || IPv6::ffff:71.104.114.101:57710 || GET >> global/components/my-foot.js
2023-07-20T19:13:41.339Z || IPv6::ffff:71.104.114.101:57701 || GET >> img/logo.png
2023-07-20T19:13:41.651Z || IPv6::ffff:71.104.114.101:57701 || GET >> my_projectsindex.html
2023-07-20T19:13:41.655Z || IPv6::ffff:71.104.114.101:57702 || GET >> my_projects/index.html
2023-07-20T19:13:41.716Z || IPv6::ffff:71.104.114.101:57702 || GET >> global/components/my-nav.js
2023-07-20T19:13:41.717Z || IPv6::ffff:71.104.114.101:57709 || GET >> style.css
2023-07-20T19:13:41.717Z || IPv6::ffff:71.104.114.101:57703 || GET >> my_projects/style.css
2023-07-20T19:13:41.717Z || IPv6::ffff:71.104.114.101:57710 || GET >> global/components/globalComponents.css
2023-07-20T19:13:41.727Z || IPv6::ffff:71.104.114.101:57711 || GET >> global/components/my-foot.js
2023-07-20T19:13:41.728Z || IPv6::ffff:71.104.114.101:57702 || GET >> my_projects/script.js
2023-07-20T19:13:41.745Z || IPv6::ffff:71.104.114.101:57712 || GET >> img/logo.png
2023-07-20T19:13:42.213Z || IPv6::ffff:71.104.114.101:57709 || GET >> blog/index.html
2023-07-20T19:13:42.269Z || IPv6::ffff:71.104.114.101:57703 || GET >> style.css
2023-07-20T19:13:42.272Z || IPv6::ffff:71.104.114.101:57710 || GET >> blog/style.css
2023-07-20T19:13:42.272Z || IPv6::ffff:71.104.114.101:57702 || GET >> global/components/my-nav.js
2023-07-20T19:13:42.272Z || IPv6::ffff:71.104.114.101:57711 || GET >> global/components/globalComponents.css
2023-07-20T19:13:42.275Z || IPv6::ffff:71.104.114.101:57712 || GET >> global/components/my-foot.js
2023-07-20T19:13:42.275Z || IPv6::ffff:71.104.114.101:57709 || GET >> blog/script.js
2023-07-20T19:13:42.297Z || IPv6::ffff:71.104.114.101:57703 || GET >> img/logo.png
2023-07-20T19:13:43.392Z || IPv6::ffff:71.104.114.101:57710 || GET >> index.html
2023-07-20T19:13:43.451Z || IPv6::ffff:71.104.114.101:57702 || GET >> style.css
2023-07-20T19:13:43.451Z || IPv6::ffff:71.104.114.101:57711 || GET >> global/components/globalComponents.css
2023-07-20T19:13:43.453Z || IPv6::ffff:71.104.114.101:57712 || GET >> global/components/my-nav.js
2023-07-20T19:13:43.459Z || IPv6::ffff:71.104.114.101:57709 || GET >> global/components/my-foot.js
2023-07-20T19:13:43.468Z || IPv6::ffff:167.206.204.66:58795 || GET >> index.html
2023-07-20T19:13:43.475Z || IPv6::ffff:71.104.114.101:57703 || GET >> img/logo.png
2023-07-20T19:13:43.566Z || IPv6::ffff:167.206.204.66:58795 || GET >> style.css
2023-07-20T19:13:43.573Z || IPv6::ffff:167.206.204.66:58796 || GET >> global/components/globalComponents.css
2023-07-20T19:13:43.592Z || IPv6::ffff:167.206.204.66:58800 || GET >> global/components/my-nav.js
2023-07-20T19:13:43.595Z || IPv6::ffff:167.206.204.66:58803 || GET >> global/components/my-foot.js
2023-07-20T19:13:43.648Z || IPv6::ffff:167.206.204.66:58803 || GET >> img/logo.png
2023-07-20T19:13:43.737Z || IPv6::ffff:167.206.204.66:58803 || GET >> favicon.ico
2023-07-20T19:13:45.620Z || IPv6::ffff:71.104.114.101:57710 || GET >> my_projects/index.html
2023-07-20T19:13:45.677Z || IPv6::ffff:71.104.114.101:57702 || GET >> style.css
2023-07-20T19:13:45.677Z || IPv6::ffff:71.104.114.101:57712 || GET >> global/components/globalComponents.css
2023-07-20T19:13:45.677Z || IPv6::ffff:71.104.114.101:57711 || GET >> my_projects/style.css
2023-07-20T19:13:45.680Z || IPv6::ffff:71.104.114.101:57709 || GET >> global/components/my-nav.js
2023-07-20T19:13:45.680Z || IPv6::ffff:71.104.114.101:57703 || GET >> global/components/my-foot.js
2023-07-20T19:13:45.681Z || IPv6::ffff:71.104.114.101:57710 || GET >> my_projects/script.js
2023-07-20T19:13:45.705Z || IPv6::ffff:71.104.114.101:57702 || GET >> img/logo.png
2023-07-20T19:13:46.988Z || IPv6::ffff:71.104.114.101:57712 || GET >> my_projects/pythonindex.html
2023-07-20T19:13:48.163Z || IPv6::ffff:167.206.204.66:58803 || GET >> my_projects/index.html
2023-07-20T19:13:48.252Z || IPv6::ffff:167.206.204.66:58803 || GET >> style.css
2023-07-20T19:13:48.257Z || IPv6::ffff:167.206.204.66:58796 || GET >> global/components/globalComponents.css
2023-07-20T19:13:48.259Z || IPv6::ffff:167.206.204.66:58800 || GET >> my_projects/style.css
2023-07-20T19:13:48.292Z || IPv6::ffff:167.206.204.66:58803 || GET >> global/components/my-nav.js
2023-07-20T19:13:48.317Z || IPv6::ffff:167.206.204.66:58800 || GET >> global/components/my-foot.js
2023-07-20T19:13:48.368Z || IPv6::ffff:167.206.204.66:58800 || GET >> my_projects/script.js
2023-07-20T19:13:48.455Z || IPv6::ffff:167.206.204.66:58800 || GET >> img/logo.png
2023-07-20T19:13:50.565Z || IPv6::ffff:167.206.204.66:58800 || GET >> index.html
2023-07-20T19:13:50.635Z || IPv6::ffff:167.206.204.66:58796 || GET >> global/components/globalComponents.css
